"Phrase, Frequency"
"FOR THAT WHICH YE,1"
"NOW IT IS NOT COMMON,1"
"TO WHOM,2"
"AND NOW BECAUSE I,1"
"NOW THIS WAS ACCORDING TO,1"
"BUT BEHOLD THE VOICE OF,1"
"FOR IF THERE BE,3"
"AMEN NOW I MORONI WRITE,1"
"AND THEY TRAVELED THROUGHOUT,1"
"SUFFER NOT YOURSELF,1"
"THEREFORE THE LORD SHALL,2"
"AND IF YE BELIEVE ON,1"
"AND NOW JACOB,2"
"NOW THIS IS,11"
"HOLY,1"
"AND NOW WHAT EVIDENCE HAVE,1"
"O THEN IS NOT,1"
"HE SHALL SEE,1"
"BUT BEHOLD I SAID UNTO,1"
"BEHOLD I AM SURE,1"
"FOR WHEN MORONIHAH,1"
"BECAUSE OF THEIR,2"
"AND AFTER THEY HAD DONE,1"
"FOR THE MOTH SHALL,1"
"BEHOLD THE WAY FOR MAN,1"
"WHEREFORE AS I SAID UNTO,1"
"BUT BEHOLD KING BENJAMIN,1"
"THEREFORE THOSE THINGS,1"
"WHEREFORE HEARKEN O MY PEOPLE,1"
"NOW KING LIMHI,1"
"AND HELAMAN WAS THE SON,1"
"O MY BELOVED BRETHREN,4"
"O HOUSE OF JACOB,1"
"AND HE RAN AND TOLD,1"
"AND WE SUPPOSE THAT THEY,2"
"MORONI BEING IN,1"
"THEN IS THE TIME,1"
"AND JESUS SAID UNTO THEM,2"
"AND SECONDLY HE,1"
"NEVERTHELESS THE LORD GOD SHOWETH,1"
"AND I BEHELD A ROD,1"
"DO NOT SAY,2"
"FOR BEHOLD THEIR WARS ARE,1"
"AND LIB WAS THE,1"
"AND AN EZROM OF,1"
"AND BEHOLD HOW,1"
"LISTEN UNTO THEM,1"
"AND HE ALSO PLACED,1"
"AND ALSO IN THE REIGN,1"
"AND IT SUFFICETH ME,1"
"NOW THE HIGH,1"
"AND THE LORD WOULD,1"
"AND THEY WERE COMFORTED AND,1"
"THEREFORE WHOSO HEARETH THESE SAYINGS,1"
"AND THE SERVANT SAID UNTO,1"
"BEHOLD THIS WE KNOW THAT,1"
"FOR BECAUSE OF FAITH AND,1"
"AND NOW BEHOLD IF ADAM,1"
"AND ZERAHEMNAH WITHDREW FROM BEFORE,1"
"AND WHEN NEPHI,1"
"AND THOSE WHO FLED,1"
"AND NOW MY SONS BEHOLD,1"
"THY HAND SHALL,1"
"WHEREFORE BY THEIR FRUITS YE,1"
"AND THEIR LITTLE CHILDREN NEED,1"
"AND WHEN SHE,1"
"AND NOW YE SEE,2"
"HAVE I SLACKENED MINE HAND,1"
"AND A HUNDREDTH PART OF,1"
"AND IF THERE WAS NO,1"
"AND NOW THIS I,1"
"FOR THE PEOPLE TURNETH NOT,1"
"BUT HE DID NOT MARCH,1"
"THESE PLATES,1"
"AND SHE SAID,2"
"AND THUS THEY WERE DRIVEN,2"
"BEHOLD HE SENDETH AN INVITATION,1"
"NOW ALMA SAID UNTO,4"
"BEHOLD O LORD THOU,2"
"BUT THIS IS THE,1"
"AND WE CAST LOTS WHO,1"
"YEA WE SEE THAT AMALICKIAH,1"
"FOR HE TRULY SPAKE,1"
"AND ANGELS DID APPEAR,1"
"THEREFORE KISHKUMEN WAS NOT,1"
"AND LIB WAS THE SON,1"
"AND ALSO IN THIS SAME,1"
"AND THE EARTH WAS CARRIED,1"
"AND NOW WHEN I NEPHI,1"
"YEA BEHOLD IT,1"
"FOR DO YE SUPPOSE THAT,1"
"YEA AND THEY ALSO BEGAN,1"
"VERILY VERILY I,13"
"NOW THE GREATEST NUMBER OF,1"
"AND HELAMAN WAS THE,1"
"BUT I JACOB SHALL,1"
"AND AN ONTI WAS AS,1"
"FOR IT WAS,3"
"AND IT SEEMETH A,1"
"BEHOLD FOR YOUR,1"
"BEHOLD HE HAS,1"
"AND THUS COMMENCED THE,1"
"YEA WO BE UNTO THIS,1"
"AND HE HATH MADE MY,1"
"BEHOLD HOW,1"
"NOW AMMON BEING THE CHIEF,1"
"BUT BEHOLD LAMAN AND LEMUEL,2"
"AND THUS MORONI HAD,1"
"WO BE UNTO THEM THAT,1"
"AND THUS THE NEPHITES WERE,1"
"NOW THE LAND SOUTH WAS,1"
"AND THERE WERE MANY,7"
"NOW AARON SAID UNTO,1"
"I NEPHI HAVING,1"
"AND HE ALSO SPAKE CONCERNING,1"
"AND THERE ARE ALSO,1"
"THEREFORE MY PEOPLE ARE,1"
"AND ETHER WAS,1"
"THEREFORE THEY HUSHED THEIR FEARS,1"
"NOW YE KNOW,2"
"AND I COMMANDED,1"
"AND HE LEADETH,1"
"AND BEHOLD IT IS,8"
"AND YE MAY KNOW THAT,2"
"FOR THE POWER OF,1"
"AND THEY WERE STRICT,1"
"FOR THE LORD SPAKE,1"
"YEA BECAUSE I HAVE,1"
"AND BECAUSE OF THE FALL,1"
"DO NOT SLACKEN,1"
"YE BEAT MY PEOPLE TO,1"
"NOW AMMON BEING WISE YET,1"
"AND HOW BLESSED WERE,1"
"YEA THE MORE,1"
"AND NOW WHEN ABINADI HAD,1"
"BEHOLD THE LORD SAITH UNTO,1"
"AND THE DAY COMETH THAT,2"
"AND HE HAD MANY,1"
"AND THEN AT,1"
"AND THERE WAS,16"
"FOR BEHOLD HE THAT IS,1"
"WO UNTO HIM THAT SPURNETH,1"
"AND THRICE HAVE I,1"
"WHEREFORE THEY WENT UP INTO,1"
"BUT NOTWITHSTANDING HE BEING HOLY,1"
"THEREFORE HOLD UP YOUR LIGHT,1"
"AND THESE TWELVE,1"
"THEREFORE HEAR,1"
"AND NOW WHEN ALMA HAD,1"
"HAVE YE OBTAINED A BIBLE,1"
"NOW AMMORON,1"
"AND NOW BEHOLD IF GOD,1"
"AND THE COUNTRY,1"
"YEA AND EVEN ALL THEY,1"
"HOWL,2"
"AND HE APPOINTED TEACHERS OF,1"
"WHEREFORE IT HATH BEEN TOLD,1"
"AND THEY WERE THUS,1"
"THE WORDS OF JACOB THE,1"
"BUT BECAUSE,2"
"AND EVEN I MYSELF,1"
"BEHOLD THE WAY FOR,1"
"AND NOW BEHOLD WHEN,3"
"YEA AND AGAIN,1"
"BUT BEHOLD HOW,2"
"THEY COME TO THE,1"
"THEREFORE,188"
"AND THEN HE,1"
"WHEREFORE MY SOUL,1"
"BUT BEHOLD IN THE,1"
"HOW KNOWEST THOU THE THOUGHT,1"
"BUT BEHOLD THEY HAVE BECOME,1"
"AND WHEN I CAME,1"
"AND NOW I BEING,1"
"AND NOW JACOB I SPEAK,1"
"BUT HE HAD OBTAINED HIS,1"
"AND BEHOLD THEY BEGAN,1"
"AND AGAIN WE,1"
"NOW AARON,3"
"AND BEHOLD THEIR TREASURE SHALL,1"
"AND ALSO THE,5"
"AND THEY WERE ALSO DISTINGUISHED,1"
"NOW THEY AFTER BEING SANCTIFIED,1"
"AND THE LORD OF THE,6"
"BEHOLD GOD IS MY,1"
"BEHOLD DO YE NOT,1"
"OR DO YE IMAGINE TO,1"
"AND NEPHI AROSE AND WENT,1"
"AND THUS FOR THREE YEARS,1"
"AND THE PEOPLE HAD SPREAD,1"
"AND THIS ACCOUNT,1"
"NOW THEY DID NOT,2"
"AND IF THERE WERE PREACHING,1"
"AND NOW WE KNOW,2"
"YEA HE WILL BRING,1"
"AND NOW MY SON SEE,1"
"AND HE BRINGETH TO,1"
"THEREFORE THE KING OF THE,1"
"YEA AND I ALSO,4"
"BEHOLD I COME,1"
"THEREFORE I CONTENDED WITH MY,1"
"NEVERTHELESS THERE WAS NO LAW,1"
"AND IT WAS THE DAUGHTER,1"
"AND BECAUSE OF THE WAY,1"
"NOT EVERY ONE THAT,1"
"AND HE KEPT IT EIGHTY,1"
"WHEREFORE THY SOUL SHALL,1"
"AND BY SO,1"
"AND BEHOLD LEHI HIS BROTHER,1"
"AND THEIR WORKS ARE,1"
"BUT O MY PEOPLE BEWARE,1"
"AND AGAIN YE,1"
"WHEREFORE MURMUR YE,1"
"WHEREFORE OUR FATHER HATH,1"
"BEHOLD MY SON I CANNOT,1"
"BUT BEHOLD THE LORD GOD,1"
"AND NOW IF THERE BE,2"
"WHEREFORE MURMUR YE BECAUSE THAT,1"
"AND ALSO THEY ARE,1"
"FOR BEHOLD ISAIAH SPAKE MANY,1"
"AND AS FOR THOSE,1"
"O THEN WHY,2"
"I SOON GO TO REST,1"
"AND THE VOICE OF,1"
"NOW WHEN THOSE PEOPLE WHO,1"
"FOR AS JOSEPH BROUGHT,1"
"WHEREFORE WE SEARCH THE PROPHETS,1"
"BUT THERE WERE MANY AMONG,1"
"FOR BEHOLD THEY WOULD TAKE,1"
"FOR BEHOLD WE ARE,1"
"THOU SHALT NOT BEAR,1"
"NOW GO MY,1"
"CRY UNTO HIM IN YOUR,1"
"AND ALL THIS HE HATH,1"
"NOW THERE IS NOT ANY,1"
'"AND ONE OF THE KING''S',1"
"AND IF THE TIME COMES,1"
"AND LAMONI FOUND,1"
"FOR ALL THIS HIS ANGER,5"
"AND THEY ANSWERED THE KING,1"
"AND ETHEM WAS THE SON,1"
"FOR BEHOLD YE HAVE CLOSED,1"
"FOR IT WAS THE,1"
"AND BEHOLD EVEN AT,1"
"TO WHOM WILL YE FLEE,1"
"AND ALSO BECAUSE,1"
"EVERY ONE THAT IS,1"
"AND NOW I RETURN TO,1"
"I PAHORAN DO NOT,1"
"AND BEHOLD THAT GREAT CITY,3"
"AND THUS SAITH,3"
"YEA WILL YE SIT,1"
"NEVERTHELESS I WENT,1"
"AND THEY WERE DOING,1"
"FOR BEHOLD THE DAY,1"
"AND BEING THUS OVERCOME WITH,1"
"THEREFORE WHOSOEVER,2"
"AND WE DID SOJOURN,1"
"AND SHEZ WAS THE SON,1"
"I SPEAK BY,1"
"NOW IF THERE,1"
"BUTTER,1"
"AND WHOSO COMETH UNTO,1"
"BEHOLD,309"
"AND EVEN I COULD NOT,1"
"AND ONE,2"
"THEREFORE AS I SAID UNTO,1"
"AND WHEN CORIANTUMR,1"
"YEA AND I BEHELD THAT,1"
"AND WHOSOEVER WILL,2"
"NOW THEY WERE,5"
"THEREFORE WHOSO REPENTETH,1"
"WHEREFORE I JACOB GAVE,1"
"AND HE AROSE,1"
"BEHOLD THAT GREAT,1"
"AND THE MULTITUDE OF THE,1"
"JESUS,1"
"THEREFORE REMEMBER,1"
"AND THE RIGHTEOUS,1"
"AND WHEN THE SPIRIT CEASETH,1"
"BUT LIMHI SAID UNTO,1"
"YEA I WOULD DECLARE,1"
"AND THERE NEVER HAD,1"
"A FEW WORDS,1"
"AND IN THE MORNING,1"
"BEHOLD BAPTISM IS UNTO REPENTANCE,1"
"AND MANY MORE SUCH THINGS,1"
"THE SECOND EPISTLE,1"
"NOW WHEN HIS FATHER,1"
"AND MY PRAYER TO,1"
"LOOK UNTO,4"
"AND THE WORD OF THE,1"
"THY WILL BE DONE ON,1"
"WHEREFORE HAVING,1"
"BECAUSE SYRIA,1"
"AND NOW BECAUSE OF THEIR,2"
"BE WISE IN THE,1"
"AND THEY DO,1"
"THEREFORE THEY,16"
"AND THERE ARE MANY THINGS,1"
"THE FORTY AND,1"
"AND THERE WERE NO MORE,1"
"WHEREFORE BY FAITH WAS THE,1"
"BEHOLD I WOULD THAT YE,1"
"AND I WILL GO,1"
"YE BEAT MY PEOPLE,1"
"I AM ALPHA AND OMEGA,1"
"COUNSEL WITH THE LORD,1"
"AND ALL THINGS WHICH,1"
"THEY TAKE THEIR FAMILIES AND,1"
"AND BEHOLD IF YE,2"
"AND THERE WERE A GREAT,2"
"AND BEHOLD THEY BOTH BELONG,1"
"O LORD WILT THOU COMFORT,1"
"AND I GIVE UNTO YOU,1"
"THEREFORE IF YE SHALL COME,1"
"HE CONFOUNDETH,2"
"FOR IF WE HAD NOT,1"
"BUT BEHOLD HIS,1"
"YEA THOU ART MERCIFUL UNTO,1"
"HOW ART,1"
"THERE WERE ABOUT FIFTY,1"
"BUT WHOSO AMONG YOU SHALL,1"
"THEREFORE THIS,1"
"WHEREFORE HE GAVE COMMANDMENTS,1"
"AND THEY DID,52"
"AND THUS WE CAN BEHOLD,1"
"WHEREFORE I SAID UNTO YOU,1"
"BEHOLD I SPEAK UNTO YOU,2"
"FOR BEHOLD I WILL SHOW,1"
"DO NOT SUPPOSE BECAUSE,1"
"O YE OUGHT TO BEGIN,1"
"AND SO GREAT WERE,2"
"OR HAVE,1"
"I GIVE,1"
"TO COME,1"
"AND AS IT HAPPENED,1"
"O YE OUGHT,1"
"BUT BEHOLD ZION HATH SAID,1"
"FOR BEHOLD THE LORD SAW,1"
"AND THOSE WHO WERE DESIROUS,1"
"AND ALSO OTHERS,1"
"AND WHEN MY BRETHREN,1"
"NEVERTHELESS HE CRIED,1"
"FOR BEHOLD I THE,1"
"BEHOLD O MY SON,1"
"AND SO SWIFT,1"
"NOW THIS WAS DONE BECAUSE,2"
"AND NOW IF GOD WHO,1"
"THEREFORE CHOOSE,1"
"BUT AHAZ,1"
"NEVERTHELESS THIS DID,1"
"BUT AS I HAVE SAID,1"
"AND THERE WERE EXCEEDINGLY MANY,1"
"AND NOW WHEN THE CHIEF,1"
"FOR BEHOLD ALL,1"
"THEREFORE GO YE UNTO,1"
"AND BEHOLD I HAD,2"
"AND AGAIN THERE,1"
"THEREFORE THE REDEEMED,1"
"AND MORE,1"
"NOW THE,71"
"BUT I DID,1"
"YEA WHAT SHALL,1"
"AND IT SHALL BE AS,2"
"YEA AND THE LORD SAID,1"
"BUT WHAT,1"
"BEHOLD I HAVE,11"
"AND OUT,1"
"AND WAS HE,1"
"AND OUR,1"
"AND HE SAID YEA I,6"
"BIND UP THE TESTIMONY SEAL,1"
"AND THE SKINS,1"
"ALL THE KINGS OF THE,1"
"AND NOW BEHOLD I SAY,14"
"NOW WE SEE THAT THE,1"
"AND ALMA,24"
"AND I SAID YEA THOU,1"
"AND THEY SHALL BE VISITED,1"
"NO WEAPON,1"
"AND NOTWITHSTANDING THEY BEING LED,1"
"BEHOLD THEY DO NOT,1"
"AND THE THINGS WHICH ARE,1"
"NEVERTHELESS THEY HAD,1"
"AND IF THEIR,1"
"FOR BEHOLD NEPHI HAD,1"
"AND WHEN THESE THINGS,2"
"NOW THEY HAD APPOINTED UNTO,1"
"HEARKEN UNTO ME MY PEOPLE,1"
"BEHOLD THIS HAVE,1"
"AND CAN YE NOT,1"
"I HAVE COMMANDED MY SANCTIFIED,1"
"AND I SOON GO TO,1"
"BUT THIS IS,4"
"AND THEY WERE LARGE,1"
"FOR THUS SAITH THE,5"
"BEHOLD THOU ART LITTLE,1"
"NEVERTHELESS THEY CAUSED,1"
"BUT I AM,2"
"YEA HE WILL BRING OTHER,1"
"FOR BEHOLD AND,1"
"AND BEHOLD I HAVE BEEN,1"
"AND MINE EYES HAVE,1"
"AND THEY WERE,47"
"AND THUS WE SEE THAT,11"
"O MY SON THIS IS,1"
"NOW ALL THIS WAS,1"
"AND HELAMAN FEARED LEST,1"
"AND THIS IS THE THING,1"
"NOW MORONI SEEING THEIR,1"
"AND THEY PROPHESIED UNTO COM,1"
"AND GREAT WERE,1"
"NEVERTHELESS I DID,2"
"WILL YE SAY SHOW,1"
"BEHOLD MY SOUL ABHORRETH,1"
"AND HAVE YE TAUGHT THIS,1"
"AND THEN SHALL A,1"
"AND THEY DEPARTED OUT,1"
"NOW YE KNOW THAT THE,1"
"AND AGAIN THERE WAS ANOTHER,1"
"AND NOW THE LORD,2"
"BUT WHEN,5"
"NOW DO YE REMEMBER MY,1"
"THEREFORE COME UNTO ME AND,1"
"THEREFORE COME UNTO ME SPEEDILY,1"
"THEREFORE HE WENT IN TO,1"
"FOR THE KING WAS GREATLY,1"
"NOW WHETHER THE SOULS,1"
"AGREE WITH,1"
"AND THE BROTHER OF SHIBLOM,1"
"WHEREFORE WHEN THOU HAST READ,1"
"AND THEY WERE BUILT AFTER,1"
"WE DO BELIEVE,1"
"AND THEY WENT,5"
"AND NOW WHEN ALMA HEARD,1"
"AND I ALSO BEHELD A,1"
"THOU SHALT HAVE NO OTHER,1"
"BUT NOTWITHSTANDING THE GREATNESS OF,1"
"IF THEREFORE,1"
"THEREFORE THE LORD,3"
"AND THE KING SAID THAT,1"
"BEHOLD HAS HE,1"
"AND NOW WHEN THE,8"
"AND BLESSED ARE YE WHEN,1"
"O LORD MY HEART,1"
"AND SUPPOSING THAT,1"
"AND KING,10"
"BEHOLD I WENT TO,1"
"AND NOW MORONI WAS,1"
"YEA THEY DID,5"
"BEHOLD I HAVE FASTED AND,1"
"THUS THE WORDS,1"
"AND I COMMAND YOU,3"
"NEVERTHELESS HELAMAN DID FILL THE,1"
"NEPHI TAKETH HIS,1"
"NEVERTHELESS I DO,1"
"FOR BEHOLD THEY ARE BLESSED,1"
"AND IN THE MOUTH,1"
"YEA AND AS OFTEN AS,1"
"AND ALSO,32"
"FOR BEHOLD ARE,1"
"AND BEING THUS OVERCOME,1"
'"NEVERTHELESS FOR MY NAME''S',1"
"AND NOW I ASK WHAT,1"
"THAT YOUR GARMENTS HAVE,1"
"BEHOLD I AM MORONI AND,1"
"BEHOLD HE LOVED,1"
"AND NOW HE IMPARTETH,1"
"THY POMP IS BROUGHT DOWN,1"
"AND NOW MY SONS I,3"
"AND NOW JARED BECAME EXCEEDINGLY,1"
"AND ALL THESE THINGS WERE,1"
"AND NOW DID THEY UNDERSTAND,1"
"BUT UNTO YOU THAT FEAR,1"
"AND NOW WHEN THEY,1"
"AND KORIHOR ANSWERED,1"
"AND THAT GREAT PIT WHICH,1"
"AND ALSO AN ACCOUNT OF,1"
"AND AFTER ALL,1"
"NOW WHEN KING LAMONI,1"
"AND IF THESE,1"
"THEREFORE PREPARE YE THE WAY,1"
"YEA BEHOLD I SAY,1"
"MY SON,5"
"NOW WHEN AMMON SAW THIS,1"
"YE HAVE SAID IT IS,1"
"FOR ON THE,1"
"AND WE BEGAN TO BUILD,1"
"AND BEHOLD WE ARE AGAIN,1"
"WHY DO NOT ANGELS,1"
"FOR BEHOLD THE TIME DRAWETH,1"
"AND WE RETAINED,1"
"WHEREFORE THE PROPHETS,1"
"NEVERTHELESS I DO NOT,1"
"NOW WHEN HIS FATHER HAD,1"
"AND IF THERE,7"
"AND ETHEM WAS,1"
"AND OUR SPIRITS MUST,1"
"AND AT THE TIME,1"
"AND NEITHER AT ANY,1"
"AND IN THEIR,1"
"AND GIDGIDDONI,1"
"AND THUS THOSE DISSENTERS OF,1"
"AND MORON,1"
"NOW I SAY UNTO YOU,4"
"CRY OUT AND SHOUT THOU,1"
"NOW THERE WAS,11"
"BEHOLD O LORD THOU HAST,1"
"THEREFORE YE SHALL KEEP THESE,1"
"WHEREFORE THE FRUIT OF,1"
"I HAVE GIVEN,1"
"AND AS HE ENTERED,1"
"AND THE FRIENDS,1"
"USE BOLDNESS,1"
"BUT LAMONI SAID,1"
"GATHER TOGETHER WHATSOEVER FORCE YE,1"
"FOR THE LEADERS OF,1"
"AND WE HAVE AN ACCOUNT,1"
"AND NOW HE SAYS THAT,1"
"AND THEY REHEARSED,2"
"NOW FROM THIS,1"
"MORONI SAID,1"
"WHO WILL DESPISE,2"
"AND THE LORD WAS,1"
"REMEMBER THE SABBATH DAY,1"
"AND THE WORLD SHALL BE,1"
"BUT BEHOLD TO THEIR,2"
"CURSED,1"
"AND THEY DID TRAVEL TO,1"
"AND KISH,1"
"BUT BEHOLD THAT GREAT,1"
"AND BEHOLD HE IS,1"
"AND THEY HAVE BEEN HANDED,1"
"AND HE GATHERETH,1"
"BUT BEHOLD THE WILD BRANCHES,1"
"NOW THESE ARE THEIR NAMES,1"
"BUT BEHOLD IF THE,1"
"FOR THE FULNESS,1"
"WHEREFORE SAITH THE LAMB,1"
"BUT YE HAVE,1"
"AND NOW MY SON THIS,2"
"THE WORD THAT ISAIAH,1"
"O THEN WHY IS,1"
"AND THEY DID SING PRAISES,1"
"NOW THESE LAWYERS WERE,1"
"BUT BEHOLD THE SERVANT SAID,2"
"AND KNOW YE,1"
"AND ALMA WENT AND BEGAN,1"
"THEREFORE MY BELOVED BROTHER,1"
"WO UNTO THE,7"
"AND OTHERS WILL HE,1"
"OR SHALL THE,1"
"AND JARED SAID UNTO,1"
"NOW THIS MARTYRDOM CAUSED,1"
"HOWBEIT HE MEANETH NOT,1"
"BUT I DO NOT JOY,1"
"NOW ZERAHEMNAH WHEN HE SAW,1"
"NOW WHETHER THE,1"
"WHEREFORE DIG ABOUT,1"
"WHY HAVE YE,1"
"BEHOLD GOD,1"
"AND ON THIS WISE DID,1"
"AND HE BEGAT,2"
"BECAUSE OF THEIR GRIEF AND,1"
"WHAT MEANETH THE,1"
"MY SOUL WAS RACKED,1"
"AND HE BEGAN,8"
"NOW WHEN AMMON AND,3"
"BEHOLD I SAID,2"
"AND THUS WE DID GO,1"
"THEREFORE LET US GO UP,1"
"AND ON THIS WISE DO,1"
"AND AMMON TOOK,1"
"DO NOT SAY THAT I,1"
"AND THEY WHO WERE BAPTIZED,1"
"SURELY HE HATH BLESSED,1"
"AND AGAIN HEARKEN O YE,1"
"AND UNDER THIS HEAD YE,1"
"AND I SAID I DESIRE,1"
"FOR THERE ARE MANY PROMISES,1"
"WHEREFORE MY BELOVED BRETHREN THUS,1"
"THEREFORE I DO MAKE,1"
"AND HE AROSE AND,1"
"THEY CALL,1"
"BUT BEHOLD WERE,1"
"GO SMITETH THE PEOPLE,1"
"FOR ARE NOT,1"
"YEA HOW QUICK TO BE,1"
"NOW THE JOY OF ALMA,1"
"THEREFORE O MY SON,1"
"AND MORIANTON,2"
"AND MOSIAH BEGAN TO,1"
"AND AGAIN BECAUSE I,1"
"NEVERTHELESS THEY DURST NOT LIE,1"
"AND THOU ART LIKE,1"
"AND I DID,9"
"AND HE LEADETH AWAY THE,1"
"BUT BEHOLD THIS WAS A,1"
"AND BECAUSE OF THEIR CURSING,1"
"AND IN THIS YEAR THERE,1"
"FOR EVERY MAN,1"
"AND HE LEFT HIS HOUSE,1"
"WHEREFORE HE HAS,1"
"AND IN THESE,1"
"AND HIS ELDEST SON WHOSE,1"
"AND THEY BEGAN TO ESTABLISH,1"
"BEHOLD HAS,1"
"NOW WHEN AMMON SAW THAT,1"
"FOR IF YE WILL,1"
"AND WE DID OBSERVE TO,1"
"WO UNTO THEM,7"
"BEHOLD THEY BELIEVED,1"
"AND THIS THEY SAID HE,1"
"THEIR BOWS,1"
"FOR THE LORD GOD WILL,2"
"AND WITHIN THE BALL,1"
"FOR IT WERE NOT POSSIBLE,1"
"O THE DEPRAVITY OF MY,1"
"HE IS THE LIGHT,1"
"BUT WO SAITH,1"
"BEHOLD I TESTIFY UNTO,1"
"BEHOLD TWO THOUSAND,1"
"BUT WHEN HE FOUND,1"
"BUT BEHOLD I WILL SHOW,2"
"THE SHOW OF THEIR,1"
"AND THUS HE COMMANDED,1"
"YE HAVE HEARD THAT,1"
"I PERCEIVE THAT YE,1"
"I DECLARE THESE THINGS UNTO,1"
"AND THERE ARE MANY AMONG,1"
"NOW THEY,19"
"THEREFORE HE IS AS THOUGH,1"
"AND THE THINGS WHICH I,1"
"NOW THE ELDEST OF HIS,1"
"FOR BEHOLD AS YET YE,1"
"I AM THE LIGHT,1"
"AND I DO,2"
"NEVERTHELESS IT CAME,1"
"NOW SIX OF THEM HAD,1"
"FOR BEHOLD THEY HAD RATHER,1"
"BEHOLD IT WAS THE FAITH,3"
"WHEREFORE DO THE THINGS WHICH,1"
"BRING,3"
"BUT AS TO THE PEOPLE,1"
"I AM THE SAME,1"
"AND BEHOLD THIS THING SHALL,1"
"O YE HOUSE OF ISRAEL,1"
"AND NOW YE ALSO KNOW,1"
"BUT THE WORD OF,2"
"AND THEY SPIT UPON,1"
"WHEREFORE A COMMANDMENT,1"
"AND NOW I WILL REJOICE,1"
"BUT IF THEY WILL NOT,1"
"NOW THESE LAWYERS,1"
"BUT IT CAME,23"
"BEHOLD WE DO NOT BELIEVE,1"
"AND NOW I MORONI HAVE,1"
"AND THERE CAME FORTH POISONOUS,1"
"HE IS DESPISED AND,1"
"FOR THEY KNEW THAT,2"
"AND MOSIAH,2"
"A BIBLE WE HAVE,1"
"NOW ZEEZROM,5"
"AND NOW SURELY,1"
"AND WHEN THE TIME COMETH,2"
"YEA WELL DID,1"
"AND MORONI ALSO SENT UNTO,1"
"AND HE SAID YEA AND,2"
"THEY CROSS THE,1"
"FOR HE WILL FULFIL,1"
"NOTWITHSTANDING THEY BELIEVED IN A,1"
"HE HATH GIVEN UNTO,1"
"AND THE HOUSE,1"
"AND I AM,4"
"WHAT MEAN YE,1"
"NEITHER,7"
"NOW THIS,49"
"AND THEY DID REMEMBER HIS,1"
"BUT HE FLED,1"
"AND NOW BEHOLD FOR THIS,1"
"FOR BEHOLD A,1"
"THEREFORE SHALL,2"
"O YE GENTILES,1"
"AND CORIANTUM WAS,2"
"BEHOLD I CANNOT,1"
"FOR BEHOLD I,14"
"THE ZEAL OF THE,1"
"AND THE WORLD BECAUSE OF,1"
"LITTLE,1"
"AND THE NEPHITES,3"
"AND NOW BECAUSE OF INIQUITY,1"
"FOR AS THEIR,1"
"NOW BEHOLD ALL THOSE ENGRAVINGS,1"
"AND I AM SENT,1"
"BEHOLD ALL YE WHO ARE,1"
"NOW BEHOLD THIS WAS DONE,1"
"AND NOW I BID UNTO,1"
"BEHOLD IF YE HAD,1"
"FOR THE LORD OF,1"
"AND WHY BEHOLDEST THOU THE,1"
"AND THIS COMETH UNTO YOU,1"
"FEAR NOT FOR THOU,1"
"BUT BEHOLD YOUR DAYS,1"
"BUT AMMON,7"
"FOR BEHOLD AFTER THE,1"
"AND THEIR JUDGES AND,1"
"LAY NOT UP FOR,1"
"O THE DEPRAVITY,1"
"FOR THE ATONEMENT SATISFIETH THE,1"
"AND THERE IS A PLACE,1"
"THUS THE NEPHITES HAD ALL,1"
"NOW THE FATHER,1"
"NOW WHEN MOSIAH HAD DONE,1"
"MY GOD HATH,1"
"AND THEY RELATED,1"
"AND NOW BEHOLD MY JOY,2"
"AND THE REMAINDER OF THOSE,1"
"THEREFORE THEY DID EXERCISE,1"
"THE SECOND EPISTLE OF,1"
"WHY AM I,1"
"AND THEY DURST,2"
"FOR THEY ARE,1"
"YEA AS ONE GENERATION,1"
"AND THEY DID PRAY UNTO,1"
"AND BEHOLD WHEN I SEE,1"
"AND I TRUST ACCORDING TO,1"
"AND BEHOLD BECAUSE OF,1"
"THE WHOLE EARTH,1"
"YEA HUMBLE YOURSELVES AND CONTINUE,1"
"BUT BEHOLD EVERY MAN THAT,1"
"AND ALSO LIMHI,1"
"BUT BEHOLD MORONIHAH,1"
"BUT NOW ABINADI,1"
"AND NOW KING NOAH WAS,1"
"AND SHE CAME IN UNTO,1"
"BEHOLD THESE MANY YEARS,1"
"AND THUS PROPHESIED JOSEPH SAYING,1"
"YEA AND AGAIN I,1"
"BEHOLD THEY HAVE LABORED EXCEEDINGLY,1"
"FOR I AM AMMON,1"
"THEREFORE WHEN YE SHALL RECEIVE,1"
"AND I MAKE AN,6"
"NOW THIS WAS WISDOM IN,1"
"BEHOLD I WILL AVENGE HIS,1"
"IN THAT DAY THE,1"
"WHAT DOES THE,1"
"WHAT MEAN YE YE BEAT,1"
"FOR AS DEATH HATH,1"
"FOR BEHOLD HE TRULY,1"
"COME OUT,1"
"FOR BEHOLD MANY,1"
"BEHOLD HE LOVED OUR,1"
"IS IT THE SON,1"
"BUT BEHOLD THE KING DID,1"
"FOR THE LORD DID,1"
"AND THEY BEGAN FROM,1"
"NOW IT WAS THOSE,1"
"RETURN UNTO ME AND I,1"
"AND BLESSED IS THE,1"
"AND HE BEGAN TO PREACH,1"
"AND KORIHOR SAID UNTO,1"
"BUT I WILL PUT,1"
"BEHOLD HAS HE NOT,1"
"IT SHALL NEVER BE,1"
"THUS PASSED,1"
